Dato,Destino,Fuente,Reset,Valido,Completado,Escritura,Lectura,Latencia
1.38861e+07, 3, 0, 1, 0, 0, 0, 195, 0
4.37333e+06, 1, 6, 1, 0, 0, 0, 195, 0
396657, 6, 1, 1, 0, 0, 0, 135, 0
3.06914e+06, 6, 2, 1, 0, 0, 0, 135, 0
2.8866e+06, 0, 8, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.32478e+07, 255, 9, 1, 0, 0, 0, 135, 0
1.35733e+07, 4, 7, 1, 0, 0, 0, 355, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
1.67703e+07, 255, 10, 1, 0, 0, 0, 315, 0
963321, 8, 2, 1, 0, 0, 0, 285, 0
1.39079e+07, 7, 4, 1, 0, 0, 0, 285, 0
1.46752e+07, 8, 5, 1, 0, 0, 0, 285, 0
5.03952e+06, 7, 6, 1, 0, 0, 0, 285, 0
7.35628e+06, 2, 10, 1, 0, 0, 0, 505, 0
7.89378e+06, 2, 0, 1, 0, 0, 0, 475, 0
6.3547e+06, 3, 2, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
7.6175e+06, 255, 4, 1, 0, 0, 0, 475, 0
8.72098e+06, 6, 11, 1, 0, 0, 0, 475, 0
1.61149e+07, 255, 3, 1, 0, 0, 0, 465, 0
1.61149e+07, 255, 3, 1, 0, 0, 0, 465, 0
1.61149e+07, 255, 3, 1, 0, 0, 0, 465, 0
